S;1000;1;37.7969
P;1000;2;27.33
P;1000;4;21.5009
P;1000;6;20.8234
P;1000;8;20.8798
P;1000;10;21.7777
P;1000;12;21.9873
P;1000;14;22.5853
P;1000;16;24.0197
P;1000;18;24.4518
P;1000;20;25.5297
P;1000;22;25.924
P;1000;24;26.955
P;1000;26;28.3664
P;1000;28;30.6219
P;1000;30;34.7615
P;1000;32;36.6637
P;1000;34;38.4466
P;1000;36;39.7323
P;1000;38;42.4869
P;1000;40;46.6054
S;2000;1;148.986
P;2000;2;103.635
P;2000;4;65.8489
P;2000;6;56.0824
P;2000;8;48.6425
P;2000;10;44.6604
P;2000;12;42.3563
P;2000;14;40.036
P;2000;16;40.0167
P;2000;18;40.304
P;2000;20;39.8503
P;2000;22;39.3589
P;2000;24;39.0063
P;2000;26;39.4419
P;2000;28;39.1323
P;2000;30;39.2726
P;2000;32;39.5217
P;2000;34;39.5165
P;2000;36;39.6212
P;2000;38;39.8591
P;2000;40;44.5717
S;3000;1;332.72
P;3000;2;229.647
P;3000;4;120.909
P;3000;6;96.5139
P;3000;8;79.5256
P;3000;10;73.86
P;3000;12;65.63
P;3000;14;58.0766
P;3000;16;54.1618
P;3000;18;51.4736
P;3000;20;48.5838
P;3000;22;53.4894
P;3000;24;51.2604
P;3000;26;48.7552
P;3000;28;44.6106
P;3000;30;40.3297
P;3000;32;40.02
P;3000;34;40.1096
P;3000;36;40.1006
P;3000;38;40.3463
P;3000;40;43.7471
S;4000;1;590.955
P;4000;2;407.306
P;4000;4;207.63
P;4000;6;152.814
P;4000;8;121.555
P;4000;10;104.384
P;4000;12;92.3176
P;4000;14;82.2638
P;4000;16;76.7808
P;4000;18;69.6712
P;4000;20;65.6303
P;4000;22;82.2964
P;4000;24;80.0113
P;4000;26;75.7223
P;4000;28;71.7682
P;4000;30;68.3338
P;4000;32;66.1384
P;4000;34;61.7908
P;4000;36;60.9596
P;4000;38;60.614
P;4000;40;59.1277
S;400;1;6.30106
P;400;2;4.36955
P;400;4;4.20958
P;400;6;5.50794
P;400;8;6.2946
P;400;10;8.17199
P;400;12;11.2461
P;400;14;15.2203
P;400;16;19.0856
P;400;18;23.5202
P;400;20;26.9715
P;400;22;28.3082
P;400;24;29.8335
P;400;26;31.6994
P;400;28;34.3208
P;400;30;34.9074
P;400;32;35.177
P;400;34;33.9852
P;400;36;31.5266
P;400;38;31.2227
P;400;40;35.3944
S;5000;1;923.598
P;5000;2;626.26
P;5000;4;337.695
P;5000;6;230.307
P;5000;8;180.831
P;5000;10;149.612
P;5000;12;127.542
P;5000;14;113.867
P;5000;16;102.531
P;5000;18;90.778
P;5000;20;84.0306
P;5000;22;125.504
P;5000;24;119.678
P;5000;26;111.12
P;5000;28;104.926
P;5000;30;100.934
P;5000;32;94.3624
P;5000;34;89.256
P;5000;36;82.4661
P;5000;38;80.6839
P;5000;40;83.2806
S;500;1;9.84709
P;500;2;6.86712
P;500;4;5.93485
P;500;6;6.18964
